1,See Yourself in Ames,Kellogg Ave & Main St,"301 Main St #105, Ames, IA 50010",42.025118,-93.613725
2,Cy the Dentist Guy,Pyfferoen Pediatric Dentistry,"301 5th St , Ames, IA",42.02611785,-93.61394259
3,Cy-House Rock!,Friedrich Iowa Realty,"100 6th St, Ames, IA",42.02670805,-93.61084883
4,Protect and Serve Cy,City Hall,"515 Clark Ave, Ames, IA",42.0263603,-93.61798567
5,Dia de los Ciclones,YSS Family Life Center,"125 S 3rd St, Ames, IA",42.02045595,-93.61158005
6,Anatomy of a Cyclone,Inside Mary Greeley Medical Center,"1111 Duff Ave, Ames, IA",42.03261625,-93.61228827
7,Celebrating 150 Years of Town and Gown,Inis Grove Park,"2500 Duff Ave, Ames, IA",42.04658972,-93.61404928
8,Spirit of Fashion,Inside North Grand Mall,"2801 Grand Ave, Ames, IA",42.0493182,-93.62258732
9,"Local Banker, Local Hero",Bankers Trust,"3725 Stange Rd, Ames, IA",42.0338317,-93.644726
10,ExCyted to Serve,Fareway - Somerset,"3619 Stange Rd, Ames, IA",42.0570443,-93.646404
11,M Wally B,Wallaby's,"2733 Stange Rd, Ames, IA",42.0502699,-93.64544964
12,DeCYde to Get Fit,Ames Racquet & Fitness Center Somerset,2622 Stange Rd,42.04783335,-93.64470498
13,Astro Cy,Inside Howe Hall,"NE corner on Bissel Road, Ames, IA",42.026752,-93.652391
14,Graduation Cy,Inside Union Drive Community Center,"2499 Union Dr, Ames, IA",42.0242294,-93.6513597
15,Cy's Tribute,Inside ISU Memorial Union,"2229 Lincoln Way, Ames, IA",42.0236772,-93.64585866
16,Bronze Cy (the original!),ISU Alumni Center,"420 Beach Ave, Ames, IA",42.01892991,-93.63931487
17,LegaCy Tribute to Jack Trice,Parking lot south of Jack Trice Stadium,,42.011847,-93.635891
18,What We Love About ISU,Reiman Gardens,"1407 University Blvd, Ames, IA",42.01050925,-93.63830586
19,Dr. Cy,ISU Small Animal Hospital,"1809 S Riverside Dr, Ames, IA",42.00584262,-93.629523
20,CYtes of Ames,Discover Ames,"1601 Golden Aspen Dr, Ames, IA",42.008251,-93.61635
21,Pilot Cy,Ames Municipal Airport,"2520 Airport Dr, Ames, IA",41.99978641,-93.62173689
22,Cy Strong,Inside Converse Conditioned Air,"3116 S Duff Ave, Ames, IA",41.99468613,-93.61010889
23,Cy's All In for an Ames Tradition,Hickory Park,"1404 S Duff Ave, Ames, IA",42.0100218,-93.60953805
24,All In Cy,First Interstate Bank,"316 S Duff Ave, Ames, IA",42.01973735,-93.60969083
25,Construction Cy,Manatts,"2120 E 13th St, Ames, IA",42.03444112,-93.58222521
26,MetalliCy,"Todd & Sargent, Inc.","2905 SE 5th St, Ames, IA",42.0172066,-93.573297
27,Bronze Cy,Gateway Hotel and Conference Center,"2100 Green Hills Dr, Ames, IA",42.001069,-93.639791
